model,random_state,test_size,n_epochs,batch_size,learning_rate,weight_decay,ROC-AUC,PR-AUC,Accuracy
NN+RF,0,0.66,50,16,0.0001,0.0001,0.5763281503077422,0.3285238178215434,0.7606177606177607
NN+RF,1,0.66,50,16,0.0001,0.0001,0.5750728862973761,0.358878331624413,0.7567567567567568
NN+RF,1,0.66,50,16,0.0001,0.0001,0.4506802721088436,0.2296594461349544,0.7374517374517374
NN+RF,1,0.66,50,16,0.0001,0.0001,0.5008908325234855,0.2641410755215433,0.7451737451737451
NN+RF,2,0.66,50,16,0.0001,0.0001,0.4848153547133139,0.2594242280665791,0.7374517374517374
NN+RF,2,0.66,50,16,0.0001,0.0001,0.5650712666018788,0.2966175643813546,0.7374517374517374
NN+RF,2,0.66,50,16,0.0001,0.0001,0.4979753806284418,0.2899153381594024,0.7644787644787645
NN+RF,3,0.66,50,16,0.0001,0.0001,0.5094752186588921,0.2721927897056235,0.7413127413127413
NN+RF,3,0.66,50,16,0.0001,0.0001,0.4721412374473598,0.254745524775986,0.7104247104247104
NN+RF,3,0.66,50,16,0.0001,0.0001,0.5815516682863622,0.2913875456982435,0.7297297297297297
NN+RF,4,0.66,50,16,0.0001,0.0001,0.5225947521865888,0.2623237551956816,0.7181467181467182
NN+RF,4,0.66,50,16,0.0001,0.0001,0.5705782312925171,0.2827061346026984,0.749034749034749
NN+RF,4,0.66,50,16,0.0001,0.0001,0.5596047942986719,0.2753574349461229,0.7297297297297297
NN+RF,5,0.66,50,16,0.0001,0.0001,0.522149335924846,0.2832503891488219,0.7451737451737451
NN+RF,5,0.66,50,16,0.0001,0.0001,0.5560009718172985,0.3043588011688205,0.7374517374517374
NN+RF,5,0.66,50,16,0.0001,0.0001,0.511175898931001,0.2676920007083854,0.7142857142857143
NN+RF,21,0.66,50,16,0.0001,0.0001,0.5243764172335601,0.263400058612037,0.7104247104247104
NN+RF,21,0.66,50,16,0.0001,0.0001,0.5296809199870425,0.2789728103550594,0.7297297297297297
NN+RF,21,0.66,50,16,0.0001,0.0001,0.5084224165856819,0.2889073635145843,0.7142857142857143
NN+RF,42,0.66,50,16,0.0001,0.0001,0.51392938127632,0.2548849814078351,0.7297297297297297
NN+RF,42,0.66,50,16,0.0001,0.0001,0.5141318432134758,0.2726554617090947,0.7374517374517374
NN+RF,42,0.66,50,16,0.0001,0.0001,0.5295594428247489,0.2555370120175763,0.6988416988416989
NN+RF,0,0.75,50,16,0.0001,0.0001,0.4727467946693613,0.2372396752010814,0.7108843537414966
NN+RF,0,0.75,50,16,0.0001,0.0001,0.4379460620223583,0.2131878684164537,0.6904761904761905
NN+RF,0,0.75,50,16,0.0001,0.0001,0.5293374597359944,0.2778666585057917,0.7278911564625851
NN+RF,1,0.75,50,16,0.0001,0.0001,0.4973788921872039,0.2633958400777445,0.7517006802721088
NN+RF,1,0.75,50,16,0.0001,0.0001,0.5636960778121644,0.2837849022177102,0.7346938775510204
NN+RF,1,0.75,50,16,0.0001,0.0001,0.5335375481589086,0.2710087165074557,0.7414965986394558
NN+RF,2,0.75,50,16,0.0001,0.0001,0.4858839133455441,0.2404241387108612,0.717687074829932
NN+RF,2,0.75,50,16,0.0001,0.0001,0.5332533316490873,0.2600636316052647,0.7517006802721088
NN+RF,2,0.75,50,16,0.0001,0.0001,0.5444009347565212,0.2808261450071229,0.7482993197278912
NN+RF,3,0.75,50,16,0.0001,0.0001,0.5355270637276575,0.2633466486874982,0.7312925170068028
NN+RF,3,0.75,50,16,0.0001,0.0001,0.5597486262868692,0.2857555811587484,0.7380952380952381
NN+RF,3,0.75,50,16,0.0001,0.0001,0.6130865912966589,0.3369122315765587,0.7312925170068028
NN+RF,4,0.75,50,16,0.0001,0.0001,0.4947577843744078,0.246067656657034,0.7448979591836735
NN+RF,4,0.75,50,16,0.0001,0.0001,0.5185688119749889,0.2991202207099482,0.7551020408163265
NN+RF,4,0.75,50,16,0.0001,0.0001,0.5928440598749447,0.3652979202689582,0.7585034013605442
NN+RF,5,0.75,50,16,0.0001,0.0001,0.5079896418871976,0.2469916027389237,0.7414965986394558
NN+RF,5,0.75,50,16,0.0001,0.0001,0.5437061832880693,0.2947434243718067,0.7414965986394558
NN+RF,5,0.75,50,16,0.0001,0.0001,0.5020210951809512,0.2445539564483389,0.7517006802721088
NN+RF,21,0.75,50,16,0.0001,0.0001,0.5342007200151583,0.3213344317244581,0.7312925170068028
NN+RF,21,0.75,50,16,0.0001,0.0001,0.4990526116339291,0.2666258965765643,0.7040816326530612
NN+RF,21,0.75,50,16,0.0001,0.0001,0.4907155940125055,0.2921352602785901,0.7278911564625851
NN+RF,42,0.75,50,16,0.0001,0.0001,0.5519800416850882,0.2977978302272165,0.7346938775510204
NN+RF,42,0.75,50,16,0.0001,0.0001,0.6196235710225477,0.3386534900005946,0.7312925170068028
NN+RF,42,0.75,50,16,0.0001,0.0001,0.5518221436240763,0.3206167454425376,0.7346938775510204
NN+RF,21,0.8,50,16,0.0001,0.0001,0.5797523872973573,0.2898680615808351,0.6964856230031949
NN+RF,21,0.8,50,16,0.0001,0.0001,0.5629857872529425,0.3168179450871995,0.7571884984025559
NN+RF,21,0.8,50,16,0.0001,0.0001,0.5395847212969132,0.2851743475579935,0.6964856230031949
NN+RF,5,0.8,50,16,0.0001,0.0001,0.4677437264046191,0.2341982059863583,0.7220447284345048
NN+RF,5,0.8,50,16,0.0001,0.0001,0.5388074616922053,0.2956772204592818,0.7348242811501597
NN+RF,5,0.8,50,16,0.0001,0.0001,0.5269264934488118,0.2754934778916261,0.744408945686901
NN+RF,4,0.8,50,16,0.0001,0.0001,0.4448700866089273,0.2345335408065533,0.7507987220447284
NN+RF,4,0.8,50,16,0.0001,0.0001,0.5066067066400177,0.2738455132405474,0.7539936102236422
NN+RF,4,0.8,50,16,0.0001,0.0001,0.5125749500333111,0.259074499064753,0.7380191693290735
NN+RF,3,0.8,50,16,0.0001,0.0001,0.5698700866089275,0.2867748120571103,0.7220447284345048
NN+RF,3,0.8,50,16,0.0001,0.0001,0.5659005107705974,0.3071256120450475,0.731629392971246
