model,random_state,test_size,n_epochs,margin,batch_size,learning_rate,weight_decay,scheduler_step_size,scheduler_gamma,lambda_l1,ROC-AUC,PR-AUC,Accuracy,n_layers
Contrastive+Gating,2,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.1,0.602524893314367,0.3207881367420871,0.7212276214833759,1
Contrastive+Gating,5,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.1,0.5863798008534851,0.316959925040195,0.6982097186700768,1
Contrastive+Gating,21,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.1,0.608481507823613,0.336166889202846,0.7033248081841432,1
Contrastive+Gating,42,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.1,0.558357041251778,0.3064461820478204,0.6879795396419437,1
Contrastive+Gating,0,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.2,0.5567567567567567,0.3059513346682319,0.690537084398977,1
Contrastive+Gating,2,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.2,0.5972261735419631,0.3244460872815492,0.6956521739130435,1
Contrastive+Gating,5,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.2,0.536593172119488,0.2737935646790801,0.6930946291560103,1
Contrastive+Gating,21,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.2,0.5806187766714083,0.2881699225387149,0.7161125319693095,1
Contrastive+Gating,42,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.2,0.5628911806543385,0.3252880763883871,0.7007672634271099,1
Contrastive+Gating,0,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.05,0.561628733997155,0.3179452726923601,0.6751918158567775,1
Contrastive+Gating,2,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.05,0.6162517780938833,0.3260611277467448,0.6828644501278772,1
Contrastive+Gating,5,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.05,0.5400960170697013,0.2870746963465498,0.6854219948849105,1
Contrastive+Gating,21,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.05,0.543581081081081,0.3044210566879712,0.6982097186700768,1
Contrastive+Gating,42,0.25,100,0.3,32,0.001,1e-08,300,0.01,0.05,0.5789118065433855,0.3292621473471789,0.6930946291560103,1
