model,random_state,test_size,ROC-AUC,PR-AUC,Accuracy
Random Forest,4,0.2,0.5964912280701754,0.3824414662920271,0.759493670886076
Logistic Regression,4,0.2,0.6008771929824561,0.3974725596810228,0.5822784810126582
Gradient Boosting,4,0.2,0.513157894736842,0.2961833258183199,0.7341772151898734
Random Forest,4,0.2,0.5964912280701754,0.3824414662920271,0.759493670886076
Logistic Regression,4,0.2,0.6008771929824561,0.3974725596810228,0.5822784810126582
Gradient Boosting,4,0.2,0.513157894736842,0.2961833258183199,0.7341772151898734
Random Forest,5,0.2,0.680701754385965,0.379962616217654,0.7215189873417721
Logistic Regression,5,0.2,0.6807017543859649,0.3608927439720328,0.6455696202531646
Gradient Boosting,5,0.2,0.6517543859649123,0.3681286540619055,0.6962025316455697
Random Forest,5,0.2,0.680701754385965,0.379962616217654,0.7215189873417721
Logistic Regression,5,0.2,0.6807017543859649,0.3608927439720328,0.6455696202531646
Gradient Boosting,5,0.2,0.6517543859649123,0.3681286540619055,0.6962025316455697
Random Forest,5,0.2,0.680701754385965,0.379962616217654,0.7215189873417721
Logistic Regression,5,0.2,0.6807017543859649,0.3608927439720328,0.6455696202531646
Gradient Boosting,5,0.2,0.6517543859649123,0.3681286540619055,0.6962025316455697
Random Forest,5,0.2,0.680701754385965,0.379962616217654,0.7215189873417721
Logistic Regression,5,0.2,0.6807017543859649,0.3608927439720328,0.6455696202531646
Gradient Boosting,5,0.2,0.6517543859649123,0.3681286540619055,0.6962025316455697
Random Forest,5,0.2,0.680701754385965,0.379962616217654,0.7215189873417721
Logistic Regression,5,0.2,0.6807017543859649,0.3608927439720328,0.6455696202531646
Gradient Boosting,5,0.2,0.6517543859649123,0.3681286540619055,0.6962025316455697
Random Forest,21,0.2,0.5986842105263158,0.3667849166745831,0.759493670886076
Logistic Regression,21,0.2,0.5482456140350876,0.3122982438574538,0.4430379746835443
Gradient Boosting,21,0.2,0.5333333333333333,0.2915716996692357,0.6962025316455697
Random Forest,21,0.2,0.5986842105263158,0.3667849166745831,0.759493670886076
Logistic Regression,21,0.2,0.5482456140350876,0.3122982438574538,0.4430379746835443
Gradient Boosting,21,0.2,0.5333333333333333,0.2915716996692357,0.6962025316455697
Random Forest,21,0.2,0.5986842105263158,0.3667849166745831,0.759493670886076
Logistic Regression,21,0.2,0.5482456140350876,0.3122982438574538,0.4430379746835443
Gradient Boosting,21,0.2,0.5333333333333333,0.2915716996692357,0.6962025316455697
Random Forest,21,0.2,0.5986842105263158,0.3667849166745831,0.759493670886076
Logistic Regression,21,0.2,0.5482456140350876,0.3122982438574538,0.4430379746835443
Gradient Boosting,21,0.2,0.5333333333333333,0.2915716996692357,0.6962025316455697
Random Forest,21,0.2,0.5986842105263158,0.3667849166745831,0.759493670886076
Logistic Regression,21,0.2,0.5482456140350876,0.3122982438574538,0.4430379746835443
Gradient Boosting,21,0.2,0.5333333333333333,0.2915716996692357,0.6962025316455697
Random Forest,42,0.2,0.5478070175438596,0.3456028156735287,0.7215189873417721
Logistic Regression,42,0.2,0.4798245614035087,0.2766785714302601,0.5822784810126582
Gradient Boosting,42,0.2,0.3859649122807017,0.1993461959499988,0.6329113924050633
Random Forest,42,0.2,0.5478070175438596,0.3456028156735287,0.7215189873417721
Logistic Regression,42,0.2,0.4798245614035087,0.2766785714302601,0.5822784810126582
Gradient Boosting,42,0.2,0.3859649122807017,0.1993461959499988,0.6329113924050633
Random Forest,42,0.2,0.5478070175438596,0.3456028156735287,0.7215189873417721
Logistic Regression,42,0.2,0.4798245614035087,0.2766785714302601,0.5822784810126582
Gradient Boosting,42,0.2,0.3859649122807017,0.1993461959499988,0.6329113924050633
Random Forest,42,0.2,0.5478070175438596,0.3456028156735287,0.7215189873417721
Logistic Regression,42,0.2,0.4798245614035087,0.2766785714302601,0.5822784810126582
Gradient Boosting,42,0.2,0.3859649122807017,0.1993461959499988,0.6329113924050633
Random Forest,42,0.2,0.5478070175438596,0.3456028156735287,0.7215189873417721
Logistic Regression,42,0.2,0.4798245614035087,0.2766785714302601,0.5822784810126582
Gradient Boosting,42,0.2,0.3859649122807017,0.1993461959499988,0.6329113924050633
Random Forest,0,0.33,0.6833545918367347,0.3678570959855491,0.7384615384615385
Logistic Regression,0,0.33,0.5911989795918368,0.3005648153700042,0.6461538461538462
Gradient Boosting,0,0.33,0.5586734693877551,0.2761977272891033,0.6692307692307692
Random Forest,0,0.33,0.6833545918367347,0.3678570959855491,0.7384615384615385
Logistic Regression,0,0.33,0.5911989795918368,0.3005648153700042,0.6461538461538462
Gradient Boosting,0,0.33,0.5586734693877551,0.2761977272891033,0.6692307692307692
Random Forest,0,0.33,0.6833545918367347,0.3678570959855491,0.7384615384615385
Logistic Regression,0,0.33,0.5911989795918368,0.3005648153700042,0.6461538461538462
Gradient Boosting,0,0.33,0.5586734693877551,0.2761977272891033,0.6692307692307692
Random Forest,1,0.33,0.5908801020408163,0.3412984948250715,0.7538461538461538
Logistic Regression,1,0.33,0.5076530612244898,0.2593742185980104,0.5538461538461539
Gradient Boosting,1,0.33,0.5440051020408163,0.3075826952294883,0.7384615384615385
Random Forest,1,0.33,0.5908801020408163,0.3412984948250715,0.7538461538461538
Logistic Regression,1,0.33,0.5076530612244898,0.2593742185980104,0.5538461538461539
Gradient Boosting,1,0.33,0.5440051020408163,0.3075826952294883,0.7384615384615385
Random Forest,1,0.33,0.5908801020408163,0.3412984948250715,0.7538461538461538
Logistic Regression,1,0.33,0.5076530612244898,0.2593742185980104,0.5538461538461539
Gradient Boosting,1,0.33,0.5440051020408163,0.3075826952294883,0.7384615384615385
Random Forest,2,0.33,0.6112882653061225,0.3649951549135606,0.7461538461538462
Logistic Regression,2,0.33,0.6036352040816326,0.3337201418483939,0.6076923076923076
Gradient Boosting,2,0.33,0.515625,0.2474531478308601,0.6461538461538462
Random Forest,2,0.33,0.6112882653061225,0.3649951549135606,0.7461538461538462
Logistic Regression,2,0.33,0.6036352040816326,0.3337201418483939,0.6076923076923076
Gradient Boosting,2,0.33,0.515625,0.2474531478308601,0.6461538461538462
Random Forest,2,0.33,0.6112882653061225,0.3649951549135606,0.7461538461538462
Logistic Regression,2,0.33,0.6036352040816326,0.3337201418483939,0.6076923076923076
Gradient Boosting,2,0.33,0.515625,0.2474531478308601,0.6461538461538462
Random Forest,3,0.33,0.5878507653061226,0.3268154614256529,0.7230769230769231
Logistic Regression,3,0.33,0.5331632653061225,0.2802723625733094,0.5461538461538461
Gradient Boosting,3,0.33,0.5822704081632653,0.3094193181859114,0.7230769230769231
Random Forest,3,0.33,0.5878507653061226,0.3268154614256529,0.7230769230769231
Logistic Regression,3,0.33,0.5331632653061225,0.2802723625733094,0.5461538461538461
Gradient Boosting,3,0.33,0.5822704081632653,0.3094193181859114,0.7230769230769231
Random Forest,3,0.33,0.5878507653061226,0.3268154614256529,0.7230769230769231
Logistic Regression,3,0.33,0.5331632653061225,0.2802723625733094,0.5461538461538461
