model,random_state,test_size,n_epochs,margin,batch_size,learning_rate,weight_decay,scheduler_step_size,scheduler_gamma,ROC-AUC,PR-AUC,Accuracy
Contrastive,3,0.75,100,0.3,32,0.0005,1e-08,300,0.01,0.5634443654180495,0.2849367338958637,0.7024722932651322
Contrastive,4,0.75,100,0.3,32,0.0005,1e-08,300,0.01,0.5460565828986882,0.276382339204914,0.6820119352088662
Contrastive,4,0.75,100,0.3,32,0.0005,1e-08,300,0.01,0.561026157736684,0.2773257955171972,0.6794543904518329
Contrastive,4,0.75,100,0.3,32,0.0005,1e-08,300,0.01,0.5531926663505611,0.2820625735428851,0.6888320545609549
Contrastive,5,0.75,100,0.3,32,0.0005,1e-08,300,0.01,0.5508653390232338,0.289676037963355,0.7152600170502984
Contrastive,5,0.75,100,0.3,32,0.0005,1e-08,300,0.01,0.5367097360518414,0.2719275814780379,0.6947996589940324
Contrastive,5,0.75,100,0.3,32,0.0005,1e-08,300,0.01,0.553481112691639,0.3004786324097271,0.7101449275362319
Contrastive,21,0.75,100,0.3,32,0.0005,1e-08,300,0.01,0.5425082977714556,0.2666894532750726,0.691389599317988
Contrastive,21,0.75,100,0.3,32,0.0005,1e-08,300,0.01,0.5561818397344713,0.2881222105185356,0.6854219948849105
Contrastive,21,0.75,100,0.3,32,0.0005,1e-08,300,0.01,0.5298996364785838,0.2655783996576358,0.6990622335890878
Contrastive,42,0.75,100,0.3,32,0.0005,1e-08,300,0.01,0.5636715663031452,0.2886776069468186,0.710997442455243
Contrastive,42,0.75,100,0.3,32,0.0005,1e-08,300,0.01,0.5421803382329698,0.2789972246277507,0.6845694799658995
Contrastive,42,0.75,100,0.3,32,0.0005,1e-08,300,0.01,0.5619566935356409,0.2988929028226161,0.6947996589940324
Contrastive,0,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5340638335704125,0.2646545634694692,0.6898976982097187
Contrastive,0,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5359786184210527,0.2653446502541345,0.680306905370844
Contrastive,0,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5496721639402561,0.27088618385426,0.6937340153452686
Contrastive,1,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.532631356685633,0.2579280811778644,0.6796675191815856
Contrastive,1,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5452302631578948,0.2721925468748519,0.6873401534526854
Contrastive,1,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5479463015647227,0.2725237693792806,0.6943734015345269
Contrastive,2,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5337671141536273,0.2629712454970722,0.6751918158567775
Contrastive,2,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5444434566145093,0.2746152141433204,0.6835038363171355
Contrastive,2,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5306598950924609,0.2573683579651232,0.6745524296675192
Contrastive,3,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.574173186344239,0.2833067745021399,0.6879795396419437
Contrastive,3,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5951157983641535,0.297173283573473,0.6982097186700768
Contrastive,3,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.597961859886202,0.3174055564149304,0.6930946291560103
Contrastive,4,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5584103840682788,0.2883886208094716,0.7084398976982097
Contrastive,4,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.555198701991465,0.2768893786560678,0.6886189258312021
Contrastive,4,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5671352684921764,0.2899543876551378,0.6975703324808185
Contrastive,5,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5524837748933142,0.2815537627575831,0.6879795396419437
Contrastive,5,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5596294896870555,0.2901993875616147,0.6930946291560103
Contrastive,5,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5467872066145092,0.2831694694937241,0.6937340153452686
Contrastive,21,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5416640736130868,0.2716491844670881,0.6758312020460358
Contrastive,21,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5287962304409672,0.2616123298598827,0.6751918158567775
Contrastive,21,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5401338015647226,0.2647023037266548,0.6815856777493606
Contrastive,42,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5562533339260313,0.2842926532374348,0.6898976982097187
Contrastive,42,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5557032361308677,0.2777400829007829,0.6777493606138107
Contrastive,42,0.8,100,0.3,32,0.0005,1e-08,300,0.01,0.5430165362731152,0.2680751089816818,0.6924552429667519
Contrastive,0,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5545624571940362,0.2727729869909163,0.6703608979823814
Contrastive,0,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5502669336002669,0.2729158860407092,0.6894003978402955
Contrastive,0,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5451835607537362,0.2690909588891154,0.6746234725774368
Contrastive,1,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5321613279946613,0.2625405239643216,0.6885478829212844
Contrastive,1,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.5419529178301108,0.2750167537540973,0.6942313157146917
Contrastive,1,0.9,100,0.3,32,0.0005,1e-08,300,0.01,0.527006611875033,0.2633033153129454,0.6854219948849105
